Date Start,Date End,Service,Usage Type,Blended Cost,Unblended Cost,Usage Quantity,Unit
2023-09-20,2023-09-21,AWS CloudTrail,APN1-FreeEventsRecorded,0.00,,14.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,APN2-FreeEventsRecorded,0.00,,14.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,APN3-FreeEventsRecorded,0.00,,14.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,APS1-FreeEventsRecorded,0.00,,611.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,APS2-FreeEventsRecorded,0.00,,601.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,APS3-FreeEventsRecorded,0.00,,14.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,CAN1-FreeEventsRecorded,0.00,,562.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,EU-FreeEventsRecorded,0.00,,633.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,EUC1-FreeEventsRecorded,0.00,,634.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,EUN1-FreeEventsRecorded,0.00,,504.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,EUW2-FreeEventsRecorded,0.00,,544.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,EUW3-FreeEventsRecorded,0.00,,14.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,SAE1-FreeEventsRecorded,0.00,,14.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,USE1-FreeEventsRecorded,0.00,,17798.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,USE2-FreeEventsRecorded,0.00,,581.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,USW1-FreeEventsRecorded,0.00,,14.00,Events
2023-09-20,2023-09-21,AWS CloudTrail,USW2-FreeEventsRecorded,0.00,,1266.00,Events
2023-09-20,2023-09-21,AWS Config,APS1-ConfigurationItemRecorded,0.03,,11.00,APS1-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,APS2-ConfigurationItemRecorded,0.03,,11.00,APS2-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,CAN1-ConfigurationItemRecorded,0.03,,11.00,CAN1-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,ConfigurationItemRecorded,0.65,,217.00,ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,EU-ConfigurationItemRecorded,0.03,,11.00,EU-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,EUC1-ConfigurationItemRecorded,0.03,,11.00,EUC1-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,EUN1-ConfigurationItemRecorded,0.03,,11.00,EU-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,EUW2-ConfigurationItemRecorded,0.03,,11.00,EUW2-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,USE1-ConfigRuleEvaluations,0.13,,130.00,ConfigRuleEvaluations
2023-09-20,2023-09-21,AWS Config,USE2-ConfigurationItemRecorded,0.03,,11.00,USE2-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Config,USW2-ConfigurationItemRecorded,0.03,,11.00,USW2-ConfigurationItemRecorded
2023-09-20,2023-09-21,AWS Key Management Service,ap-southeast-1-KMS-Requests,0.00,,3.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,ap-southeast-2-KMS-Requests,0.00,,3.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,ca-central-1-KMS-Requests,0.00,,3.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,eu-central-1-KMS-Requests,0.00,,23.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,eu-north-1-KMS-Requests,0.00,,3.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,eu-west-1-KMS-Requests,0.00,,3.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,eu-west-2-KMS-Requests,0.00,,3.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,us-east-1-KMS-Requests,0.00,,62.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,us-east-2-KMS-Requests,0.00,,3.00,Requests
2023-09-20,2023-09-21,AWS Key Management Service,us-west-2-KMS-Requests,0.00,,5.00,Requests
2023-09-20,2023-09-21,AWS Lambda,Lambda-GB-Second,0.00,,182.13,Second
2023-09-20,2023-09-21,AWS Lambda,Request,0.00,,334.00,Requests
2023-09-20,2023-09-21,AWS Lambda,USE1-DataTransfer-xAZ-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,AWS Lambda,USE1-DataTransfer-xAZ-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,AWS Lambda,USW2-Lambda-GB-Second,0.00,,39.65,Second
2023-09-20,2023-09-21,AWS Lambda,USW2-Request,0.00,,120.00,Requests
2023-09-20,2023-09-21,AWS Secrets Manager,USE1-AWSSecretsManager-Secrets,0.01,,0.03,Secrets
2023-09-20,2023-09-21,AWS Secrets Manager,USE1-AWSSecretsManagerAPIRequest,0.00,,32.00,API Requests
2023-09-20,2023-09-21,AWS Security Hub,USE1-OtherProduct:PaidFindingsIngestion,0.00,,10.00,Finding Ingestion Events
2023-09-20,2023-09-21,AWS Security Hub,USE1-PaidComplianceCheck,0.24,,437.00,Security Checks
2023-09-20,2023-09-21,AWS Security Hub,USE1-SecurityHubProduct:FreeFindingsIngestion,0.00,,1069.00,Finding Ingestion Events
