Date Start,Date End,Service,Usage Type,Blended Cost,Unblended Cost,Usage Quantity,Unit
2023-09-01,2023-09-02,AWS CloudTrail,APN1-FreeEventsRecorded,0.00,,233.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,APN2-FreeEventsRecorded,0.00,,233.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,APN3-FreeEventsRecorded,0.00,,233.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,APS1-FreeEventsRecorded,0.00,,807.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,APS2-FreeEventsRecorded,0.00,,813.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,APS3-FreeEventsRecorded,0.00,,233.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,CAN1-FreeEventsRecorded,0.00,,764.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,EU-FreeEventsRecorded,0.00,,835.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,EUC1-FreeEventsRecorded,0.00,,835.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,EUN1-FreeEventsRecorded,0.00,,727.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,EUW2-FreeEventsRecorded,0.00,,767.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,EUW3-FreeEventsRecorded,0.00,,233.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,SAE1-FreeEventsRecorded,0.00,,233.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,USE1-FreeEventsRecorded,0.00,,2499.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,USE2-FreeEventsRecorded,0.00,,791.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,USW1-FreeEventsRecorded,0.00,,233.00,Events
2023-09-01,2023-09-02,AWS CloudTrail,USW2-FreeEventsRecorded,0.00,,1524.00,Events
2023-09-01,2023-09-02,AWS Config,ConfigurationItemRecorded,0.00,,1.00,ConfigurationItemRecorded
2023-09-01,2023-09-02,AWS Key Management Service,ap-southeast-1-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,ap-southeast-2-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,ca-central-1-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,eu-central-1-KMS-Requests,0.00,,23.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,eu-north-1-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,eu-west-1-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,eu-west-2-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,us-east-1-KMS-Requests,0.00,,11.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,us-east-2-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Key Management Service,us-west-2-KMS-Requests,0.00,,3.00,Requests
2023-09-01,2023-09-02,AWS Lambda,Lambda-GB-Second,0.00,,41.19,Second
2023-09-01,2023-09-02,AWS Lambda,Request,0.00,,126.00,Requests
2023-09-01,2023-09-02,AWS Lambda,USW2-Lambda-GB-Second,0.00,,40.84,Second
2023-09-01,2023-09-02,AWS Lambda,USW2-Request,0.00,,126.00,Requests
2023-09-01,2023-09-02,AWS Secrets Manager,USE1-AWSSecretsManagerAPIRequest,0.00,,4.00,API Requests
2023-09-01,2023-09-02,AWS Security Hub,USE1-PaidComplianceCheck,0.03,,52.00,Security Checks
2023-09-01,2023-09-02,AWS Security Hub,USE1-SecurityHubProduct:FreeFindingsIngestion,0.00,,613.00,Finding Ingestion Events
2023-09-01,2023-09-02,EC2 - Other,ElasticIP:IdleAddress,0.02,,5.00,Hrs
2023-09-01,2023-09-02,Amazon GuardDuty,USE1-PaidEventsAnalyzed,0.01,,1427.00,Events
2023-09-01,2023-09-02,Amazon Route 53,HostedZone,0.27,,1.00,HostedZone
2023-09-01,2023-09-02,Amazon Simple Notification Service,APS1-Requests-Tier1,0.00,,3.00,Requests
2023-09-01,2023-09-02,Amazon Simple Notification Service,APS2-Requests-Tier1,0.00,,3.00,Requests
2023-09-01,2023-09-02,Amazon Simple Notification Service,CAN1-Requests-Tier1,0.00,,3.00,Requests
2023-09-01,2023-09-02,Amazon Simple Notification Service,EU-Requests-Tier1,0.00,,3.00,Requests
2023-09-01,2023-09-02,Amazon Simple Notification Service,EUC1-Requests-Tier1,0.00,,3.00,Requests
2023-09-01,2023-09-02,Amazon Simple Notification Service,EUN1-Requests-Tier1,0.00,,3.00,Requests
